GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ReservaQuartos,tech.ada.java.reservaquartos.Domain,Reserva,514,14,96,0,35,3,74,4,26,4
ReservaQuartos,tech.ada.java.reservaquartos.Domain,Reserva.FormaPagamento,0,21,0,0,0,1,0,1,0,1
ReservaQuartos,tech.ada.java.reservaquartos.Domain,Cliente,247,88,64,4,1,20,36,18,3,17
ReservaQuartos,tech.ada.java.reservaquartos.Domain,Quarto.TipoQuarto,0,21,0,0,0,1,0,1,0,1
ReservaQuartos,tech.ada.java.reservaquartos.Domain,Quarto,217,68,53,1,3,16,30,15,3,15
ReservaQuartos,tech.ada.java.reservaquartos,ReservaQuartosApplication,5,7,0,0,2,2,1,2,1,2
ReservaQuartos,tech.ada.java.reservaquartos.Configuration,Security,0,44,0,0,0,9,0,5,0,5
ReservaQuartos,tech.ada.java.reservaquartos.Request,ClienteRequest,0,45,0,0,0,8,0,13,0,13
ReservaQuartos,tech.ada.java.reservaquartos.Request,QuartoRequest,0,38,0,0,0,7,0,11,0,11
ReservaQuartos,tech.ada.java.reservaquartos.Request,ReservaRequest,80,0,0,0,13,0,23,0,23,0
ReservaQuartos,tech.ada.java.reservaquartos.Request,AlteraValorQuartoRequest,0,9,0,0,0,1,0,2,0,2
ReservaQuartos,tech.ada.java.reservaquartos.Service,ClienteService,0,24,0,2,0,7,0,3,0,2
ReservaQuartos,tech.ada.java.reservaquartos.Service,ReservaService,36,6,8,0,8,3,6,1,2,1
ReservaQuartos,tech.ada.java.reservaquartos.Service,QuartoService,6,6,0,0,1,3,1,1,1,1
ReservaQuartos,tech.ada.java.reservaquartos.Controller,ClienteController,108,164,15,13,24,39,14,6,1,5
ReservaQuartos,tech.ada.java.reservaquartos.Controller,QuartoController,38,191,2,12,8,45,5,13,3,8
ReservaQuartos,tech.ada.java.reservaquartos.Controller,ReservaController,324,18,48,0,73,7,29,1,5,1
ReservaQuartos,tech.ada.java.reservaquartos.Controller,ErrorResponse,7,9,0,0,2,2,2,2,2,2
